Titel,URL,Date_Info,News_page
Video auf YouTube: Arnold Schwarzenegger und Jimmy Kimmel werben mit Witz-Filmchen fürs Impfen,https://www.spiegel.de/panorama/leute/arnold-schwarzenegger-und-jimmy-kimmel-werben-mit-witz-filmchen-fuers-impfen-a-6166723d-c0b7-40ca-9b3f-addb4b8de870,24022022_11:04 ,Spiegel
Schulen in der Pandemie: »Kein normaler Betrieb dürfte so mit seinen Mitarbeitern umgehen«,https://www.spiegel.de/panorama/gesellschaft/schulen-und-corona-kein-normaler-betrieb-duerfte-so-mit-seinen-mitarbeitern-umgehen-a-a561cdb3-a8ee-4d3f-b7f8-f059f130086c,24022022_11:03 ,Spiegel
Angriff auf die Ukraine: Moskauer Börse verliert fast die Hälfte an Wert,https://www.spiegel.de/wirtschaft/angriff-auf-die-ukraine-moskauer-boerse-verliert-die-haelfte-an-wert-a-e1bf3d4b-8626-4ad4-9107-5b49213cd29e,24022022_11:00 ,Spiegel
Reaktion der Bundesaußenministerin: »Wir sind heute in einer anderen Welt aufgewacht«,https://www.spiegel.de/politik/deutschland/ukraine-krieg-annalena-baerbock-kuendigt-schaerfste-sanktionen-gegen-russland-an-a-45c5b932-3e4a-4891-bc6f-bc239975c63b,24022022_10:40 ,Spiegel
Wiper-Schadsoftware: Ukraine offenbar mit Zerstörungssoftware angegriffen,https://www.spiegel.de/netzwelt/web/wiper-angriff-in-der-ukraine-destruktive-software-auf-rechnern-entdeckt-a-983f09de-5e17-483b-b19e-e72950867e00,24022022_10:35 ,Spiegel
Pink über ihre Rolle als Mutter: »Ich weine viel in meinem Kleiderschrank«,https://www.spiegel.de/panorama/leute/pink-ueber-ihre-mutterrolle-ich-weine-viel-in-meinem-kleiderschrank-a-992648d7-9a54-49d2-ba6c-d1be46169c07,24022022_10:33 ,Spiegel
Energiesparende Häuser: Mehrere Bauminister verlangen Rückkehr zu kompletter KfW-Bauförderung,https://www.spiegel.de/wirtschaft/soziales/kfw-mehrere-bauminister-verlangen-rueckkehr-zu-kompletter-baufoerderung-a-6f18a798-e2e8-4e89-b7bd-a3a1429eb438,24022022_10:29 ,Spiegel
Betrug mit blauem Haken: So leicht macht es Facebook einem falschen Elon Musk,https://www.spiegel.de/netzwelt/apps/bitcoin-betrug-so-leicht-macht-es-facebook-einem-falschen-elon-musk-a-a6b6a5d3-3764-4faf-b95a-10665159514f,24022022_10:25 ,Spiegel
"Nadal über Zverev-Ausraster: »Ich hoffe, es ist ein Lernprozess für ihn und andere junge Spieler, die ihre Nerven verlieren«",https://www.spiegel.de/sport/tennis/rafael-nadal-ueber-alexander-zverev-und-seinen-ausraster-ich-hoffe-es-ist-ein-lernprozess-fuer-ihn-a-a2bde013-2112-4d4b-b422-095d42760bc7,24022022_10:17 ,Spiegel
Ärger wegen Doppelgängerin: Tina Turner verliert vor dem Bundesgerichtshof,https://www.spiegel.de/panorama/leute/tina-turner-verliert-streit-um-doppelgaengerin-vor-dem-bundesgerichtshof-a-dae446b8-102d-4802-b6eb-681f8922537d,24022022_10:03 ,Spiegel
