30-Dec-21 12:07:45 - INFO - Scraping: Bild_13122021_12_25_23.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_23112021_15_16_53.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_27112021_12_00_52.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Bild_29112021_14_12_13.html
30-Dec-21 12:07:45 - ERROR - BILD Scraper not implemented yet!
30-Dec-21 12:07:45 - INFO - Scraping: Spiegel_04122021_12_44_45.html
30-Dec-21 12:07:45 - INFO - Starting to Scrape Spiegel file Spiegel_04122021_12_44_45.html
30-Dec-21 12:07:46 - INFO - Trying to scrape: Advent in Pandemiezeiten: So setzt Corona der Weihnachtsmann-Branche zu
30-Dec-21 12:07:46 - INFO - Trying to scrape: Wir drehen eine Runde: Today Sunshine M2: Kleiner Sonnenschein
30-Dec-21 12:07:46 - INFO - Trying to scrape: Nach Wahlverlust: Laschet will sich Außenpolitik widmen
30-Dec-21 12:07:46 - INFO - Trying to scrape: Die Geschichte von der Vernichtung eines Syrien-Helfers: Tödliche Intrigen
30-Dec-21 12:07:46 - INFO - Trying to scrape: NRW-Ministerpräsident Hendrik Wüst: Mutmacher in eigener Sache
30-Dec-21 12:07:46 - INFO - Trying to scrape: Suche nach dem Ursprung der Mutante: Das Omikron-Rätsel
30-Dec-21 12:07:46 - INFO - Trying to scrape: Dortmund gegen die Bayern: Das Möchtegern-Topspiel
30-Dec-21 12:07:46 - INFO - Trying to scrape: Zwangssterilisation indigener Frauen: Vorerst kein Prozess gegen Perus Ex-Präsident Fujimori
30-Dec-21 12:07:46 - INFO - Trying to scrape: Podcast »Inside Austria«: Was von der Ära Sebastian Kurz bleibt – und wie es weitergeht
30-Dec-21 12:07:46 - INFO - Trying to scrape: Kollabierender Karibikstaat Haiti: Im permanenten Ausnahmezustand
30-Dec-21 12:07:46 - INFO - Trying to scrape: Allesschneider und Brotmesser im Test: Was für Aufschneider!
30-Dec-21 12:07:46 - INFO - Trying to scrape: Ratgeber-Kolumne: Wie sage ich meinem besten Freund, dass er sich in die falsche Frau verliebt hat?
30-Dec-21 12:07:46 - INFO - Trying to scrape: Suche nach der Weltformel: Die fünfte Dimension
30-Dec-21 12:07:46 - INFO - Trying to scrape: 500. NHL-Partie für deutschen Superstar: Draisaitl trifft bei Jubiläumsspiel – und darf doch nicht jubeln
30-Dec-21 12:07:46 - INFO - Trying to scrape: Parlamentarische Geschäftsführerin: Irene Mihalic bewirbt sich um Schaltstelle in Grünenfraktion
30-Dec-21 12:07:46 - INFO - Trying to scrape: Vorschlag von NRW-Ministerpräsident: Wüst wünscht sich Unionspolitikerin als Bundespräsidentin
30-Dec-21 12:07:46 - INFO - Trying to scrape: Grimma in Sachsen: Fackelprotest vor Wohnhaus von Gesundheitsministerin Köpping
30-Dec-21 12:07:46 - INFO - Trying to scrape: Die Lage am Morgen: Woher kommt diese Feigheit vor dem Volk?
30-Dec-21 12:07:46 - INFO - Trying to scrape: Coronamaßnahmen: Ampel will Schließung von Restaurants ermöglichen
30-Dec-21 12:07:46 - INFO - Trying to scrape: Designierte Familienministerin: Anne Spiegel entscheidet sich für Spitzenbeamtin als Staatssekretärin
30-Dec-21 12:07:46 - INFO - Trying to scrape: +++ Corona-News +++: Sieben-Tage-Inzidenz erneut leicht gestiegen
30-Dec-21 12:07:46 - INFO - Trying to scrape: Drastisch steigende Preise: Warum die Gasanbieter keine neuen Kunden wollen
30-Dec-21 12:07:46 - INFO - Trying to scrape: Die Bilder der Woche: Die Affen sind los
30-Dec-21 12:07:46 - INFO - Trying to scrape: Schöner schreiben: An diesem Satz stimmt alles
30-Dec-21 12:07:46 - INFO - Trying to scrape: DDR-Flucht eines Lokführers: Mit Volldampf aus der Diktatur
30-Dec-21 12:07:46 - INFO - Trying to scrape: Scholz nimmt Kampf gegen Pandemie auf: »Da hat er Flagge gezeigt«
30-Dec-21 12:07:46 - INFO - Trying to scrape: Kapitulation vor Regelbrechern: Corona-Sonderweg in die Sackgasse
30-Dec-21 12:07:46 - INFO - Trying to scrape: Die Woche: Auf der Corona-Intensivstation, Omikron-Variante und Merkels Coronabilanz
30-Dec-21 12:07:46 - INFO - Trying to scrape: Afghanistan: Frankreich holt 330 Menschen aus Kabul
30-Dec-21 12:07:46 - INFO - Trying to scrape: Leipziger Niederlage bei Union Berlin: »Wir haben eine katastrophale Leistung abgeliefert«
30-Dec-21 12:07:46 - INFO - Trying to scrape: Panama: Polizei findet zehn Millionen Dollar Drogengeld
30-Dec-21 12:07:46 - INFO - Trying to scrape: Schach-WM in Dubai: Carlsen siegt in der längsten Partie der WM-Geschichte
30-Dec-21 12:07:46 - INFO - Trying to scrape: Coronapandemie: Neuinfektionen in Südafrika schnellen hoch
30-Dec-21 12:07:46 - INFO - Trying to scrape: 2. Fußball-Bundesliga: Werner und Werder jubeln – 4:0-Premierensieg gegen Aue
30-Dec-21 12:07:46 - INFO - Trying to scrape: Nach Aussagen von Baerbock: China warnt vor Konfrontationskurs
30-Dec-21 12:07:46 - INFO - Trying to scrape: Fans enttäuscht: Wie VW seinen Traumbus ID.Buzz abspeckt
30-Dec-21 12:07:46 - INFO - Trying to scrape: Abkehr von der Klientelpolitik: Die FDP muss diesmal weiter denken als bis zur nächsten Apotheke
30-Dec-21 12:07:46 - INFO - Trying to scrape: US-Bundesstaat Michigan: Eltern von 15-jährigem Schulschützen werden mit angeklagt
30-Dec-21 12:07:46 - INFO - Trying to scrape: 2G plus, Tanzverbote, Testpflicht in Kitas: So setzt Ihr Bundesland die Coronaregeln um
30-Dec-21 12:07:46 - INFO - Trying to scrape: Niedrige Inzidenz trotz mäßiger Impfquote: Schwedens Coronarätsel
30-Dec-21 12:07:46 - INFO - Trying to scrape: Rassistischer Anschlag: Angehörige fordern Aufklärung in Hanau-Untersuchungsausschuss
30-Dec-21 12:07:46 - INFO - Trying to scrape: Acht Milliarden – Der Auslands-Podcast: Wie verklagt man die Helferin eines bösen Geistes?
30-Dec-21 12:07:46 - INFO - Trying to scrape: Neues Amazon-Format »Celebrity Hunted«: »Doktor Wladimir Klitschko besitzt alle erdenklichen Führerscheine«
30-Dec-21 12:07:46 - INFO - Trying to scrape: Chinesischer Immobilienkonzern: Regierung bestellt Evergrande-Gründer ein
30-Dec-21 12:07:46 - INFO - Trying to scrape: Neuer SPD-Generalsekretär Kühnert: Plötzlich Antreiber statt Quertreiber
30-Dec-21 12:07:46 - INFO - Trying to scrape: Pandemie-Effekte: Champagner-Hersteller vermelden Rekordjahr
30-Dec-21 12:07:46 - INFO - Trying to scrape: Wintersaison in Ischgl eröffnet: Geht’s auch ohne Après-Ski?
30-Dec-21 12:07:46 - INFO - Trying to scrape: Umbaupläne des Konzerns: 14.000 Beschäftigte beteiligen sich an Warnstreiks bei Airbus
30-Dec-21 12:07:46 - INFO - Trying to scrape: Ernsting’s-Family-Chef über 2G-Beschlüsse: »Dagegen werden wir klagen, bis zum letzten Euro«
30-Dec-21 12:07:46 - INFO - Trying to scrape: IS-Mordprozess: Völkermord, überall
