keyword_name,ADF_Statistics_wiki,ADF_p_value_wiki,ADF_critical_values_wiki,ADF_Statistics_news,ADF_p_value_news,ADF_critical_values_news,ssr_ftest_pValue_lag1,ssr_ftest_pValue_lag2,ssr_ftest_pValue_lag3,ssr_ftest_pValue_lag4,ssr_ftest_pValue_lag5,ssr_ftest_pValue_lag6,ssr_ftest_pValue_lag7
Brücke,-8.079202264144554,1.47701031411905e-12,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-3.6543822732207376,0.004802533876583702,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.7068,0.8736,0.8002,0.801,0.2911,0.2987,0.3953
Bund,-11.282935482035873,1.441203030479357e-20,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.026998876631612,5.575310685548995e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4198,0.5631,0.3864,0.3093,0.3373,0.5419,0.7752
Bundesliga,-3.797156435823968,0.0029365427325459183,"{'1%': -3.476273058920005, '5%': -2.881687616548444, '10%': -2.5775132580261593}",-13.052388213275737,2.1287688412138708e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.671,0.0718,0.2049,0.252,0.2624,0.2335,0.3154
Bundesregierung,-3.3580345917770718,0.012475418366930075,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-12.144434274433808,1.6229461249348086e-22,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.2003,0.4976,0.7389,0.8738,0.9366,0.9596,0.7417
Bundestag,-3.5232912762746262,0.007408689533261492,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",-8.074944470785733,1.5143038587283845e-12,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.3955,0.2,0.094,0.1421,0.2306,0.2483,0.1365
Bundeswehr,-3.975593768180064,0.0015438418240147555,"{'1%': -3.474714913481481, '5%': -2.881008708148148, '10%': -2.5771508444444446}",-3.18439576664489,0.020905867881977683,"{'1%': -3.4750180242954167, '5%': -2.8811408028842043, '10%': -2.577221358046935}",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus,-9.29250194959733,1.169513920636558e-15,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-9.61128488821732,1.808877220574342e-16,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.4688,0.0994,0.2075,0.375,0.2867,0.4555,0.6797
Butscha,-3.7849302448714104,0.0030653167580712913,"{'1%': -3.4753253063120644, '5%': -2.881274703275226, '10%': -2.5772928360116873}",132.31510325630296,1.0,"{'1%': -3.4759527332353084, '5%': -2.881548071241103, '10%': -2.577438765246763}",0.0,0.0,0.0,0.0,0.0,0.0,0.4557
Bäume,-12.899200717609158,4.2838277958035216e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",-5.245274372155812,7.1015367260460525e-06,"{'1%': -3.474120870218417, '5%': -2.880749791423677, '10%': -2.5770126333102494}",0.4694,0.6476,0.399,0.4818,0.2505,0.2303,0.3137
Bürger,-2.85789319726813,0.05046812246696551,"{'1%': -3.476597917537401, '5%': -2.8818291230495543, '10%': -2.5775887982253085}",-12.832297039275975,5.8386765156762266e-24,"{'1%': -3.473829775724492, '5%': -2.880622899711496, '10%': -2.5769448985432954}",0.6223,0.3809,0.3945,0.4257,0.1269,0.0704,0.0235
